uf,cep,cnpj,pais,porte,bairro,numero,ddd_fax,municipio,logradouro,cnae_fiscal,complemento,codigo_porte,razao_social,nome_fantasia,capital_social,ddd_telefone_1,ddd_telefone_2,descricao_porte,codigo_municipio,natureza_juridica,situacao_especial,opcao_pelo_simples,situacao_cadastral,cnae_fiscal_descricao,codigo_municipio_ibge,data_inicio_atividade,data_situacao_especial,data_situacao_cadastral,nome_cidade_no_exterior,codigo_natureza_juridica,motivo_situacao_cadastral,identificador_matriz_filial,qualificacao_do_responsavel,descricao_situacao_cadastral,descricao_tipo_de_logradouro,descricao_motivo_situacao_cadastral,descricao_identificador_matriz_filial,ano,mes
rj,20080002,03378521000175,brasil,demais,centro,168,2122112612,rio_de_janeiro,marechal_floriano,6462000,parte_-_segundo_andar_-_corredor_a,5.0,light_s/a_-_em_recuperacao_judicial,,1701023700.0,2122112617,2122112600,,6001.0,sociedade_anonima_aberta,recuperacao_judicial,,2,holdings_de_instituicoes_nao-financeiras,3304557.0,1999-08-30,2023-05-15,2005-09-30,,2046,0,1,64,ativa,avenida,sem_motivo,matriz,1999,8
rj,20080002,60444437000146,brasil,demais,centro,168,,rio_de_janeiro,marechal_floriano,3514000,,5.0,light_servicos_de_eletricidade_s_a,,0.0,,,,6001.0,sociedade_anonima_aberta,,,2,distribuicao_de_energia_eletrica,3304557.0,1966-09-30,,2005-11-03,,2046,0,1,16,ativa,avenida,sem_motivo,matriz,1966,9
pr,87030008,10442435000140,brasil,demais,zona_industrial,294,4435231815,maringa,pedro_taques,6110803,andar_18_sala_1807_e_1808,5.0,ligue_movel_s.a.,,57030000.0,4438010000,,,7691.0,sociedade_anonima_fechada,,False,8,servicos_de_comunicacao_multimidia_-_scm,4115200.0,2008-10-29,,2023-12-01,,2054,2,1,10,baixada,avenida,incorporacao,matriz,2008,10
rj,22250911,11395604000109,brasil,demais,botafogo,00501,1131040652,rio_de_janeiro,botafogo,6463800,_loj_h,5.0,linea_amarilla_brasil_participacoes_s.a.,,15000000.0,2121112324,,,6001.0,sociedade_anonima_fechada,,,2,"outras_sociedades_de_participacao,_exceto_holdings",3304557.0,2009-12-07,,2009-12-07,,2054,0,1,16,ativa,praia,sem_motivo,matriz,2009,12
rj,20745150,00974211000125,brasil,demais,agua_santa,s/n,0215920357,rio_de_janeiro,carlos_lacerda,5221400,pca_do_pedagio,5.0,linha_amarela_s/a_-_lamsa,lamsa,91953384.0,0215926203,,,6001.0,sociedade_anonima_aberta,,,2,"concessionarias_de_rodovias,_pontes,_tuneis_e_servicos_relacionados",3304557.0,1995-12-06,,2005-11-03,,2046,0,1,10,ativa,avenida,sem_motivo,matriz,1995,12
es,29919500,10472905000118,brasil,demais,distrito_de_povoacao,s/n,2732647801,linhares,"es_010,_km_117",3511501,,5.0,linhares_geracao_sa,linhares_geracao_sa,70557620.0,2132626000,2132626042,,5663.0,sociedade_anonima_fechada,,,2,geracao_de_energia_eletrica,3203205.0,2008-10-30,,2008-10-30,,2054,0,1,10,ativa,rodovia,sem_motivo,matriz,2008,10
mg,36770034,14395590000103,brasil,demais,centro,80,2130770060,cataguases,rui_barbosa,3512300,_parte,5.0,linhas_de_taubate_transmissora_de_energia_sa,,456274430.0,3234296288,,,4305.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3115300.0,2011-09-30,,2011-09-30,,2054,0,1,10,ativa,praca,sem_motivo,matriz,2011,9
rj,20071004,11620646000198,brasil,demais,centro,955,2131718010,rio_de_janeiro,presidente_vargas,3512300,andar_13_sala_1301_parte,5.0,linhas_de_transmissao_de_montes_claros_s.a.,,300025060.0,2121737560,,,6001.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3304557.0,2010-03-02,,2010-03-02,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,2010,3
mg,36770034,10240186000100,brasil,demais,centro,80,2130770060,cataguases,rui_barbosa,3512300,_parte,5.0,linhas_de_xingu_transmissora_de_energia_s.a.,,632529100.0,3234296288,,,4305.0,sociedade_anonima_aberta,,,2,transmissao_de_energia_eletrica,3115300.0,2008-07-21,,2008-07-21,,2046,0,1,10,ativa,praca,sem_motivo,matriz,2008,7
sp,16419899,35637796000172,brasil,demais,area_rural,s/n,,lins,municipal_prefeito_chiquinho_junqueira,1931400,_km_16,5.0,lins_agroindustrial_s.a.,,499927170.0,1635058900,1435111600,,6643.0,sociedade_anonima_fechada,,,2,fabricacao_de_alcool,3527108.0,2019-11-27,,2019-11-27,,2054,0,1,16,ativa,estrada,sem_motivo,matriz,2019,11
